cumshow,director.mean,weight3,°ü¶÷°´¼ö,actor.mean,br,rankNum,popular,watchnew,nationnew
6181,12659.5,2,121452,521167.6111,3,0,0,0,KOREA
703,34899,2,34899,688279.1303,3,0,0,2,ETC
484,39281,2,39281,35650.25,3,0,0,1,ETC
52091,805325.3333,12,2310206,2011359.741,1,14,0,2,USA
34944,1492756,6,864757,852595.4074,2,8,0,1,USA
1054,32587.5,2,63333,108343,3,0,0,1,ETC
14840,680387,11,680387,202079.1786,3,4,0,2,USA
9594,76282.2,9,321754,784229.9259,3,4,0,0,USA
5421,23191,2,54041,74961.18519,3,0,0,1,USA
5674,4140448,2,48010,859592.437,3,0,0,1,KOREA
2053,65421,0,103082,1413302.588,3,0,0,1,KOREA
154,38953,0,21641,13273.13333,3,0,0,1,ETC
113,430,0,12135,66992.80357,3,0,0,1,ETC
28584,1051689.333,5,837475,3540516.173,2,5,0,1,KOREA
2457,94129,0,94129,260928.8194,3,0,0,0,ETC
37,66250,0,66250,66250,3,0,0,2,USA
9686,116344.5,2,172199,1108993.442,2,0,0,1,USA
1082,23053,2,31553,400629.7917,3,0,0,1,ETC
37626,727335.6667,7,1243065,1858789.905,2,21,1,1,KOREA
129113,4728865.667,14,6879989,3888765.648,2,29,0,1,KOREA
67463,440824.3333,7,2594420,3634306.236,1,14,1,0,KOREA
21529,117158,4,347790,1481500.223,1,4,0,1,KOREA
164188,3630129.5,10,7258678,6979669.278,3,21,1,1,USA
47208,1591818,6,1500744,1215080.578,2,7,1,1,USA
324,681841.4444,0,5860,865856.0524,3,0,1,0,USA
5769,422919.25,2,225343,497255.2778,2,0,0,1,USA
57015,2165407,9,2165407,1096718.486,2,15,1,1,USA
43611,2137208.667,7,2051351,1169824.833,2,6,1,1,USA
55735,1689079,6,1689079,1654151.65,2,15,1,1,USA
33765,2767029.143,6,1306438,1381116.444,2,2,0,1,KOREA
4953,172396,6,172396,702342.9167,3,1,0,2,ETC
88725,1939295.778,10,2931897,1854158.792,2,21,1,0,KOREA
487,3545093.7,0,14951,1459964.676,3,0,0,1,ETC
6216,53186.75,10,127567,29253.375,3,0,0,2,ETC
14536,227164.5,2,355813,299238.4028,3,1,1,1,USA
103786,3689290,9,3689290,2065989.744,3,22,1,1,USA
5161,40079.33333,4,82736,405974.5,1,0,0,1,USA
1194,67709.55556,4,93339,66758.41667,3,0,0,1,ETC
