rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
1,1,0,OLD,20136068,히말라야,2015-12-16,4529795647,38.3,2303664641,103.5,43999571095,554307,259690,88.1,5683716,955,4678
2,2,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,2092539355,17.7,864281640,70.4,3329327070,247992,88926,55.9,408140,822,2088
3,3,2,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,1400855545,11.9,603603060,75.7,25550334085,154446,59442,62.6,2957680,552,2067
4,4,-1,OLD,20144442,조선마술사,2015-12-30,1153061953,9.8,387563159,50.6,2659511747,145065,40336,38.5,369722,608,2319
5,5,-1,OLD,20154242,몬스터 호텔 2,2015-12-24,991048145,8.4,287645560,40.9,8020060730,130502,29688,29.4,1093272,637,1828
6,6,0,OLD,20145171,대호,2015-12-16,531656900,4.5,216401900,68.6,12636465232,66476,24178,57.2,1650644,409,974
7,7,0,OLD,20155563,어린왕자,2015-12-23,312224753,2.6,77091259,32.8,3507811547,39819,7384,22.8,468674,368,679
8,8,0,OLD,20157197,라스트 위치 헌터,2015-12-30,235624600,2,48194300,25.7,580843600,28491,4014,16.4,78049,278,582
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,151254800,1.3,44265100,41.4,1679296300,20424,4981,32.3,234708,270,418
10,10,0,OLD,20156807,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,96435100,0.8,27436400,39.8,2998525700,12243,2749,29,404003,151,245
1,1,0,OLD,20136068,히말라야,2015-12-16,3263470020,27.5,-1266325627,-28,47263041115,404874,-149433,-27,6088590,841,3905
2,2,0,NEW,20157042,셜록: 유령신부,2016-01-02,3136359200,26.5,3136359200,100,3136359200,396224,396224,100,396224,831,3256
3,3,-1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,1960437754,16.5,-132101601,-6.3,5289764824,232822,-15170,-6.1,640962,837,2076
4,4,1,OLD,20154242,몬스터 호텔 2,2015-12-24,787504446,6.6,-203543699,-20.5,8807565176,105175,-25327,-19.4,1198447,574,1559
5,5,-2,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,891221546,7.5,-509633999,-36.4,26441555631,96874,-57572,-37.3,3054554,472,1540
6,6,-2,OLD,20144442,조선마술사,2015-12-30,681016680,5.7,-472045273,-40.9,3340528427,86174,-58891,-40.6,455896,522,1724
7,7,-1,OLD,20145171,대호,2015-12-16,296045100,2.5,-235611800,-44.3,12932510332,37237,-29239,-44,1687881,340,652
8,8,-1,OLD,20155563,어린왕자,2015-12-23,229461880,1.9,-82762873,-26.5,3737273427,29804,-10015,-25.2,498478,331,531
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,131230700,1.1,-20024100,-13.2,1810527000,17872,-2552,-12.5,252580,243,345
10,10,-2,OLD,20157197,라스트 위치 헌터,2015-12-30,130950300,1.1,-104674300,-44.4,711793900,15773,-12718,-44.6,93822,246,424
1,1,0,OLD,20136068,히말라야,2015-12-16,2326205400,27.1,-937264620,-28.7,49589246515,289441,-115433,-28.5,6378031,811,3692
2,2,0,OLD,20157042,셜록: 유령신부,2016-01-02,2134618400,24.9,-1001740800,-31.9,5270977600,268938,-127286,-32.1,665162,891,3376
3,3,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,1598725900,18.6,-361711854,-18.5,6888490724,190471,-42351,-18.2,831433,838,2105
4,4,0,OLD,20154242,몬스터 호텔 2,2015-12-24,600567800,7,-186936646,-23.7,9408132976,80032,-25143,-23.9,1278479,553,1419
5,5,0,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,613682900,7.1,-277538646,-31.1,27055238531,67499,-29375,-30.3,3122053,473,1453
6,6,0,OLD,20144442,조선마술사,2015-12-30,449854700,5.2,-231161980,-33.9,3790383127,57391,-28783,-33.4,513287,510,1556
7,7,0,OLD,20145171,대호,2015-12-16,206223000,2.4,-89822100,-30.3,13138733332,26055,-11182,-30,1713936,328,617
8,8,0,OLD,20155563,어린왕자,2015-12-23,184385600,2.1,-45076280,-19.6,3921659027,23754,-6050,-20.3,522232,320,503
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,116039900,1.4,-15190800,-11.6,1926566900,15705,-2167,-12.1,268285,253,356
10,10,0,OLD,20157197,라스트 위치 헌터,2015-12-30,97400900,1.1,-33549400,-25.6,809194800,11774,-3999,-25.4,105596,238,402
1,1,0,OLD,20136068,히말라야,2015-12-16,723039200,23.5,-1603166200,-68.9,50312285715,97194,-192247,-66.4,6475225,761,3482
2,2,0,OLD,20157042,셜록: 유령신부,2016-01-02,718311200,23.3,-1416307200,-66.3,5989288800,96300,-172638,-64.2,761462,736,3131
3,3,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,724673000,23.6,-874052900,-54.7,7613163724,92964,-97507,-51.2,924397,755,2188
4,4,0,OLD,20154242,몬스터 호텔 2,2015-12-24,227102600,7.4,-373465200,-62.2,9635235576,32544,-47488,-59.3,1311023,474,1123
5,5,1,OLD,20144442,조선마술사,2015-12-30,153463100,5,-296391600,-65.9,3943846227,21053,-36338,-63.3,534340,486,1446
6,6,-1,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,165784500,5.4,-447898400,-73,27221023031,18947,-48552,-71.9,3141000,442,1314
7,7,1,OLD,20155563,어린왕자,2015-12-23,70842200,2.3,-113543400,-61.6,3992501227,9837,-13917,-58.6,532069,291,439
8,8,-1,OLD,20145171,대호,2015-12-16,66163600,2.2,-140059400,-67.9,13204896932,8913,-17142,-65.8,1722849,326,607
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,45405200,1.5,-70634700,-60.9,1971972100,6345,-9360,-59.6,274630,213,277
10,10,0,OLD,20157197,라스트 위치 헌터,2015-12-30,38316900,1.2,-59084000,-60.7,847511700,5023,-6751,-57.3,110619,236,441
1,1,0,OLD,20136068,히말라야,2015-12-16,639591600,23,-83447600,-11.5,50951877315,86250,-10944,-11.3,6561475,759,3443
2,2,1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,627868300,22.6,-96804700,-13.4,8241032024,81170,-11794,-12.7,1005567,780,2211
3,3,-1,OLD,20157042,셜록: 유령신부,2016-01-02,548322400,19.7,-169988800,-23.7,6537611200,73733,-22567,-23.4,835195,747,3067
4,4,0,OLD,20154242,몬스터 호텔 2,2015-12-24,246997600,8.9,19895000,8.8,9882233176,35873,3329,10.2,1346896,479,1128
5,5,0,OLD,20144442,조선마술사,2015-12-30,150061500,5.4,-3401600,-2.2,4093907727,20662,-391,-1.9,555002,478,1403
6,6,0,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,157626500,5.7,-8158000,-4.9,27378649531,17931,-1016,-5.4,3158931,439,1321
7,7,0,OLD,20155563,어린왕자,2015-12-23,81638700,2.9,10796500,15.2,4074139927,11440,1603,16.3,543509,294,437
8,8,0,OLD,20145171,대호,2015-12-16,62227600,2.2,-3936000,-5.9,13267124532,8530,-383,-4.3,1731379,315,603
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,48631000,1.7,3225800,7.1,2020603100,6913,568,9,281543,207,271
10,10,0,OLD,20157197,라스트 위치 헌터,2015-12-30,34175200,1.2,-4141700,-10.8,881686900,4474,-549,-10.9,115093,226,411
1,1,0,OLD,20136068,히말라야,2015-12-16,586057000,23.7,-53534600,-8.4,51537934315,79260,-6990,-8.1,6640735,762,3428
2,2,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,585938800,23.7,-41929500,-6.7,8826970824,75721,-5449,-6.7,1081288,786,2306
3,3,0,OLD,20157042,셜록: 유령신부,2016-01-02,463892500,18.7,-84429900,-15.4,7001503700,62132,-11601,-15.7,897327,712,3006
4,4,0,OLD,20154242,몬스터 호텔 2,2015-12-24,201621100,8.1,-45376500,-18.4,10083854276,29401,-6472,-18,1376297,465,1092
5,5,1,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,156784100,6.3,-842400,-0.5,27535433631,17420,-511,-2.8,3176351,444,1283
6,6,-1,OLD,20144442,조선마술사,2015-12-30,115650900,4.7,-34410600,-22.9,4209558627,16277,-4385,-21.2,571279,461,1333
7,7,0,OLD,20155563,어린왕자,2015-12-23,79648800,3.2,-1989900,-2.4,4153788727,11288,-152,-1.3,554797,293,438
8,8,0,OLD,20145171,대호,2015-12-16,60774200,2.5,-1453400,-2.3,13327898732,8379,-151,-1.8,1739758,324,581
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,38687600,1.6,-9943400,-20.4,2059290700,5636,-1277,-18.5,287179,211,280
